Class,Count_r0,Correct_r0,Accuracy_r0,Count_r1,Correct_r1,Accuracy_r1,Count_r2,Correct_r2,Accuracy_r2,Count_r3,Correct_r3,Accuracy_r3,Count_r4,Correct_r4,Accuracy_r4,Count_r5,Correct_r5,Accuracy_r5,Count_r6,Correct_r6,Accuracy_r6,Count_r7,Correct_r7,Accuracy_r7,Count_r8,Correct_r8,Accuracy_r8,Count_r9,Correct_r9,Accuracy_r9
alpine_sea_holly,10,10,1,10,10,1,10,9,0.9,10,10,1,10,9,0.9,10,10,1,10,9,0.9,10,10,1,10,9,0.9,10,10,1
anthurium,10,10,1,10,7,0.7,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1
artichoke,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9
arum_lily,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8
azalea,10,6,0.6,10,5,0.5,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6
ball_moss,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9
balloon_flower,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9
barberton_daisy,10,6,0.6,10,4,0.4,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6
bearded_iris,10,8,0.8,10,10,1,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8
bee_balm,10,6,0.6,10,8,0.8,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6
bird_of_paradise,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1
bishop_of_llandaf_dahlia,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9
black-eyed_susan,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1
blackberry_lily,10,9,0.9,10,8,0.8,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9
blanket_flower,10,7,0.7,10,6,0.6,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7
bolero_deep_blue,10,7,0.7,10,4,0.4,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7
bougainvillea,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7
bromelia,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1
buttercup,10,7,0.7,10,10,1,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7
california_poppy,10,7,0.7,10,8,0.8,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7
camellia,10,7,0.7,10,6,0.6,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7
canna_lily,10,4,0.4,10,5,0.5,10,4,0.4,10,4,0.4,10,4,0.4,10,4,0.4,10,4,0.4,10,4,0.4,10,4,0.4,10,4,0.4
canterbury_bells,10,4,0.4,10,4,0.4,10,4,0.4,10,4,0.4,10,4,0.4,10,4,0.4,10,4,0.4,10,4,0.4,10,4,0.4,10,4,0.4
cape_flower,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1
carnation,10,4,0.4,10,3,0.3,10,4,0.4,10,4,0.4,10,4,0.4,10,4,0.4,10,4,0.4,10,4,0.4,10,4,0.4,10,4,0.4
cattleya,10,3,0.3,10,2,0.2,10,3,0.3,10,3,0.3,10,3,0.3,10,3,0.3,10,3,0.3,10,3,0.3,10,3,0.3,10,3,0.3
cautleya_spicata,10,9,0.9,10,10,1,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9
clematis,10,5,0.5,10,6,0.6,10,5,0.5,10,5,0.5,10,5,0.5,10,5,0.5,10,5,0.5,10,5,0.5,10,5,0.5,10,5,0.5
coltsfoot,10,5,0.5,10,8,0.8,10,5,0.5,10,5,0.5,10,5,0.5,10,5,0.5,10,5,0.5,10,5,0.5,10,5,0.5,10,5,0.5
columbine,10,8,0.8,10,6,0.6,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8
common_dandelion,10,10,1,10,9,0.9,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1
corn_poppy,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1
cyclamen,10,6,0.6,10,4,0.4,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6
daffodil,10,8,0.8,10,6,0.6,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8
dahlia,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1
desert_rose,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8
english_marigold,10,5,0.5,10,6,0.6,10,5,0.5,10,5,0.5,10,5,0.5,10,5,0.5,10,5,0.5,10,5,0.5,10,5,0.5,10,5,0.5
fire_lily,10,8,0.8,10,7,0.7,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8
foxglove,10,10,1,10,9,0.9,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1
frangipani,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9
fritillary,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1
garden_phlox,10,5,0.5,10,4,0.4,10,5,0.5,10,5,0.5,10,5,0.5,10,5,0.5,10,5,0.5,10,5,0.5,10,5,0.5,10,5,0.5
gaura,10,8,0.8,10,9,0.9,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8
gazania,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1
geranium,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1
globe_flower,10,8,0.8,10,7,0.7,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8
globe_thistle,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1
grape_hyacinth,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1
great_masterwort,10,8,0.8,10,7,0.7,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8
hard-leaved_pocket_orchid,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1
hibiscus,10,4,0.4,10,4,0.4,10,4,0.4,10,4,0.4,10,4,0.4,10,4,0.4,10,4,0.4,10,4,0.4,10,4,0.4,10,4,0.4
hippeastrum,10,5,0.5,10,8,0.8,10,5,0.5,10,5,0.5,10,5,0.5,10,5,0.5,10,5,0.5,10,5,0.5,10,5,0.5,10,5,0.5
japanese_anemone,10,5,0.5,10,9,0.9,10,5,0.5,10,5,0.5,10,5,0.5,10,5,0.5,10,5,0.5,10,5,0.5,10,5,0.5,10,5,0.5
king_protea,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8
lenten_rose,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6
lotus,10,7,0.7,10,8,0.8,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7
love_in_the_mist,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1
magnolia,10,8,0.8,10,7,0.7,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8
mallow,10,5,0.5,10,7,0.7,10,5,0.5,10,5,0.5,10,5,0.5,10,5,0.5,10,5,0.5,10,5,0.5,10,5,0.5,10,5,0.5
marigold,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1
mexican_aster,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1
mexican_petunia,10,7,0.7,10,3,0.3,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7
monkshood,10,10,1,10,7,0.7,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1
moon_orchid,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8
morning_glory,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9
osteospermum,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1
oxeye_daisy,10,5,0.5,10,9,0.9,10,5,0.5,10,5,0.5,10,5,0.5,10,5,0.5,10,5,0.5,10,5,0.5,10,5,0.5,10,5,0.5
passion_flower,10,10,1,10,9,0.9,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1
pelargonium,10,7,0.7,10,8,0.8,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7
peruvian_lily,10,5,0.5,10,5,0.5,10,5,0.5,10,5,0.5,10,5,0.5,10,5,0.5,10,5,0.5,10,5,0.5,10,5,0.5,10,5,0.5
petunia,10,6,0.6,10,7,0.7,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6
pincushion_flower,10,9,0.9,10,10,1,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9
poinsettia,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8
primrose,10,5,0.5,10,6,0.6,10,5,0.5,10,5,0.5,10,5,0.5,10,5,0.5,10,5,0.5,10,5,0.5,10,5,0.5,10,5,0.5
primula,10,3,0.3,10,2,0.2,10,3,0.3,10,3,0.3,10,3,0.3,10,3,0.3,10,3,0.3,10,3,0.3,10,3,0.3,10,3,0.3
prince_of_wales_feather,10,9,0.9,10,10,1,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9
purple_coneflower,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1
red_ginger,10,10,1,10,8,0.8,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1
rose,10,8,0.8,10,10,1,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8
siam_tulip,10,3,0.3,10,3,0.3,10,3,0.3,10,3,0.3,10,3,0.3,10,3,0.3,10,3,0.3,10,3,0.3,10,3,0.3,10,3,0.3
silverbush,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1
snapdragon,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6
spear_thistle,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1
spring_crocus,10,6,0.6,10,5,0.5,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6
stemless_gentian,10,7,0.7,10,6,0.6,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7
sunflower,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9
sweet_pea,10,3,0.3,10,5,0.5,10,3,0.3,10,3,0.3,10,3,0.3,10,3,0.3,10,3,0.3,10,3,0.3,10,3,0.3,10,3,0.3
sweet_william,10,6,0.6,10,5,0.5,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6
sword_lily,10,2,0.2,10,5,0.5,10,2,0.2,10,2,0.2,10,2,0.2,10,2,0.2,10,2,0.2,10,2,0.2,10,2,0.2,10,2,0.2
thorn_apple,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9
tiger_lily,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1
tithonia,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1
toad_lily,10,9,0.9,10,10,1,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9
tree_mallow,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1
tree_poppy,10,9,0.9,10,8,0.8,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9
trumpet_creeper,10,6,0.6,10,7,0.7,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6
wallflower,10,5,0.5,10,5,0.5,10,5,0.5,10,5,0.5,10,5,0.5,10,5,0.5,10,5,0.5,10,5,0.5,10,5,0.5,10,5,0.5
water_lily,10,8,0.8,10,9,0.9,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8
watercress,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1
wild_pansy,10,8,0.8,10,9,0.9,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8
windflower,10,10,1,10,9,0.9,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1
yellow_iris,10,10,1,10,8,0.8,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1